Format Version,1.23,Total Exported Frames,12501,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global
,,,,,,,,,
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,
,Name,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,
,ID,640D5FDADAFA11EE855F4FEF7B9C0597,640D5FDADAFA11EE855F4FEF7B9C0597,640D5FDADAFA11EE855F4FEF7B9C0597,640D5FDADAFA11EE855F4FEF7B9C0597,640D5FDADAFA11EE855F4FEF7B9C0597,640D5FDADAFA11EE855F4FEF7B9C0597,640D5FDADAFA11EE855F4FEF7B9C0597,
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,
Frame,Time (Seconds),X,Y,Z,X,Y,Z,,
373,1.036111,-131.168472,-52.353539,138.049057,1.07415,0.106941,0.414613,0.000799,
374,1.038889,-131.1633,-52.34148,138.083099,1.074114,0.106955,0.414692,0.000784,
375,1.041667,-131.17952,-52.352409,138.035858,1.074162,0.106954,0.414588,0.000798,
376,1.044444,-131.179733,-52.403755,138.008133,1.074241,0.106955,0.414585,0.000804,
377,1.047222,-131.122833,-52.343994,138.109467,1.074081,0.106925,0.414763,0.000738,
378,1.05,,,,,,,,
379,1.052778,,,,,,,,
380,1.055556,,,,,,,,
381,1.058333,-131.151733,-52.391613,138.065674,1.07419,0.106926,0.414699,0.00078,
382,1.061111,,,,,,,,
383,1.063889,,,,,,,,
384,1.066667,,,,,,,,
385,1.069444,-131.093826,-52.311886,138.158691,1.074039,0.106935,0.414795,0.000736,
386,1.072222,,,,,,,,
387,1.075,,,,,,,,
388,1.077778,-131.111877,-52.383125,138.078171,1.074183,0.106966,0.414696,0.000738,
389,1.080556,,,,,,,,
390,1.083333,-131.127472,-52.318859,138.11203,1.074108,0.106945,0.414672,0.0008,
391,1.086111,-131.096939,-52.350143,138.112076,1.074128,0.106934,0.414742,0.00074,
392,1.088889,,,,,,,,
393,1.091667,,,,,,,,
394,1.094444,-131.120926,-52.368397,138.097427,1.074154,0.106952,0.414705,0.000786,
395,1.097222,-131.143494,-52.343578,138.112015,1.07411,0.106923,0.414772,0.000781,
396,1.1,-131.133057,-52.386032,138.033691,1.074227,0.106946,0.414582,0.000797,
397,1.102778,-131.115448,-52.329227,138.139572,1.074071,0.106955,0.414769,0.000773,
398,1.105556,,,,,,,,
399,1.108333,-131.142105,-52.352001,138.059494,1.074175,0.106958,0.414632,0.000805,
400,1.111111,-131.124527,-52.307617,138.093552,1.074103,0.106957,0.41464,0.000794,
401,1.113889,-131.12117,-52.429153,138.035919,1.074268,0.10695,0.41469,0.00074,
402,1.116667,-131.138321,-52.34988,138.06192,1.074162,0.106928,0.414638,0.000794,
403,1.119444,-131.131683,-52.340607,138.077316,1.074136,0.106932,0.414663,0.000787,
404,1.122222,-131.149796,-52.362637,138.068771,1.074167,0.106928,0.414697,0.000796,
405,1.125,,,,,,,,
406,1.127778,-131.120255,-52.382618,138.125946,1.074152,0.106937,0.414808,0.000768,
407,1.130556,-131.124176,-52.385281,138.088013,1.074176,0.106937,0.414753,0.000744,
408,1.133333,,,,,,,,
409,1.136111,-131.10553,-52.359501,138.108612,1.07415,0.106946,0.414715,0.000781,
410,1.138889,-130.95491,-52.529442,138.374527,1.074071,0.106866,0.415176,0.000773,
411,1.141667,-130.975739,-52.592064,138.327972,1.07419,0.106887,0.415153,0.000767,
412,1.144444,,,,,,,,
413,1.147222,-131.073563,-52.65387,138.150284,1.074364,0.106855,0.415034,0.000788,
414,1.15,,,,,,,,
