,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,turtle5,turtle5,turtle5,turtle5,turtle5,turtle5,turtle5,turtle2,turtle2,turtle2,turtle2,turtle2,turtle2,turtle2,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD,ballie - MSD
,ID,"DE93762964E811EE855F4FEF7B9C9D96","DE93762964E811EE855F4FEF7B9C9D96","DE93762964E811EE855F4FEF7B9C9D96","DE93762964E811EE855F4FEF7B9C9D96","DE93762964E811EE855F4FEF7B9C9D96","DE93762964E811EE855F4FEF7B9C9D96","DE93762964E811EE855F4FEF7B9C9D96","2EC419D64EC11EE855F4FEF7B9C9D96","2EC419D64EC11EE855F4FEF7B9C9D96","2EC419D64EC11EE855F4FEF7B9C9D96","2EC419D64EC11EE855F4FEF7B9C9D96","2EC419D64EC11EE855F4FEF7B9C9D96","2EC419D64EC11EE855F4FEF7B9C9D96","2EC419D64EC11EE855F4FEF7B9C9D96","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597","640D5FDADAFA11EE855F4FEF7B9C0597"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,X,Y,Z,,X,Y,Z,X,Y,Z,,X,Y,Z,X,Y,Z,
138,0.383333,,,,,,,,,,,,,,,,,,,,,
139,0.386111,,,,,,,,,,,,,,,,,,,,,
140,0.388889,,,,,,,,,,,,,,,,,,,,,
141,0.391667,,,,,,,,,,,,,,,,,,,,,
142,0.394444,,,,,,,,,,,,,,,,,,,,,
143,0.397222,,,,,,,,,,,,,,,,,,,,,
144,0.400000,,,,,,,,,,,,,,,-21.949682,5.943244,39.228371,2.911768,0.104698,-2.196415,0.001212
145,0.402778,,,,,,,,,,,,,,,,,,,,,
146,0.405556,,,,,,,,,,,,,,,-21.980818,6.015376,39.191929,2.911757,0.104707,-2.196419,0.001115
147,0.408333,,,,,,,,,,,,,,,,,,,,,
148,0.411111,,,,,,,,,,,,,,,,,,,,,
149,0.413889,,,,,,,,,,,,,,,-22.012203,6.086187,39.156322,2.911746,0.104718,-2.196422,0.001213
150,0.416667,,,,,,,,,,,,,,,,,,,,,
151,0.419444,,,,,,,,,,,,,,,,,,,,,
152,0.422222,,,,,,,,,,,,,,,,,,,,,
153,0.425000,,,,,,,,,,,,,,,-22.043207,6.157361,39.119392,2.911734,0.104729,-2.196426,0.001119
154,0.427778,,,,,,,,,,,,,,,,,,,,,
155,0.430556,,,,,,,,,,,,,,,,,,,,,
156,0.433333,,,,,,,,,,,,,,,,,,,,,
157,0.436111,,,,,,,,,,,,,,,,,,,,,
158,0.438889,,,,,,,,,,,,,,,,,,,,,
159,0.441667,,,,,,,,,,,,,,,,,,,,,
160,0.444444,,,,,,,,,,,,,,,,,,,,,
161,0.447222,,,,,,,,,,,,,,,,,,,,,
162,0.450000,,,,,,,,,,,,,,,,,,,,,
163,0.452778,,,,,,,,,,,,,,,,,,,,,
164,0.455556,,,,,,,,,,,,,,,,,,,,,
165,0.458333,,,,,,,,,,,,,,,,,,,,,
166,0.461111,,,,,,,,,,,,,,,,,,,,,
167,0.463889,,,,,,,,,,,,,,,,,,,,,
168,0.466667,,,,,,,,,,,,,,,,,,,,,
169,0.469444,,,,,,,,,,,,,,,,,,,,,
170,0.472222,,,,,,,,,,,,,,,,,,,,,
171,0.475000,,,,,,,,,,,,,,,,,,,,,
172,0.477778,,,,,,,,,,,,,,,,,,,,,
173,0.480556,,,,,,,,,,,,,,,,,,,,,
174,0.483333,,,,,,,,,,,,,,,,,,,,,
175,0.486111,,,,,,,,,,,,,,,,,,,,,
176,0.488889,,,,,,,,,,,,,,,,,,,,,
177,0.491667,,,,,,,,,,,,,,,,,,,,,
178,0.494444,,,,,,,,,,,,,,,,,,,,,
179,0.497222,,,,,,,,,,,,,,,,,,,,,
180,0.500000,,,,,,,,,,,,,,,,,,,,,
181,0.502778,,,,,,,,,,,,,,,,,,,,,
182,0.505556,,,,,,,,,,,,,,,,,,,,,
183,0.508333,,,,,,,,,,,,,,,,,,,,,
184,0.511111,,,,,,,,,,,,,,,,,,,,,
185,0.513889,,,,,,,,,,,,,,,,,,,,,
186,0.516667,,,,,,,,,,,,,,,,,,,,,
187,0.519444,,,,,,,,,,,,,,,,,,,,,
188,0.522222,,,,,,,,,,,,,,,,,,,,,
189,0.525000,,,,,,,,,,,,,,,,,,,,,
190,0.527778,,,,,,,,,,,,,,,,,,,,,
191,0.530556,,,,,,,,,,,,,,,,,,,,,
192,0.533333,,,,,,,,,,,,,,,,,,,,,
193,0.536111,,,,,,,,,,,,,,,,,,,,,
194,0.538889,,,,,,,,,,,,,,,,,,,,,
195,0.541667,,,,,,,,,,,,,,,,,,,,,
196,0.544444,,,,,,,,,,,,,,,,,,,,,
197,0.547222,,,,,,,,,,,,,,,,,,,,,
198,0.550000,,,,,,,,,,,,,,,,,,,,,
199,0.552778,,,,,,,,,,,,,,,,,,,,,
200,0.555556,,,,,,,,,,,,,,,,,,,,,
201,0.558333,,,,,,,,,,,,,,,,,,,,,
202,0.561111,,,,,,,,,,,,,,,,,,,,,
203,0.563889,,,,,,,,,,,,,,,,,,,,,
204,0.566667,,,,,,,,,,,,,,,-22.086378,6.286876,39.058632,2.911745,0.104733,-2.196453,0.001378
205,0.569444,,,,,,,,,,,,,,,,,,,,,
206,0.572222,,,,,,,,,,,,,,,,,,,,,
207,0.575000,,,,,,,,,,,,,,,,,,,,,
208,0.577778,,,,,,,,,,,,,,,,,,,,,
209,0.580556,,,,,,,,,,,,,,,,,,,,,
210,0.583333,,,,,,,,,,,,,,,,,,,,,
211,0.586111,,,,,,,,,,,,,,,,,,,,,
212,0.588889,,,,,,,,,,,,,,,,,,,,,
213,0.591667,,,,,,,,,,,,,,,,,,,,,
214,0.594444,,,,,,,,,,,,,,,,,,,,,
215,0.597222,,,,,,,,,,,,,,,,,,,,,
216,0.600000,,,,,,,,,,,,,,,,,,,,,
217,0.602778,,,,,,,,,,,,,,,,,,,,,
218,0.605556,,,,,,,,,,,,,,,,,,,,,
219,0.608333,,,,,,,,,,,,,,,,,,,,,
220,0.611111,,,,,,,,,,,,,,,,,,,,,
221,0.613889,,,,,,,,,,,,,,,,,,,,,
222,0.616667,,,,,,,,,,,,,,,,,,,,,
223,0.619444,,,,,,,,,,,,,,,,,,,,,
224,0.622222,,,,,,,,,,,,,,,,,,,,,
225,0.625000,,,,,,,,,,,,,,,,,,,,,
226,0.627778,,,,,,,,,,,,,,,,,,,,,
227,0.630556,,,,,,,,,,,,,,,,,,,,,
228,0.633333,,,,,,,,,,,,,,,,,,,,,
229,0.636111,,,,,,,,,,,,,,,,,,,,,
230,0.638889,,,,,,,,,,,,,,,,,,,,,
231,0.641667,,,,,,,,,,,,,,,,,,,,,
232,0.644444,,,,,,,,,,,,,,,,,,,,,
233,0.647222,,,,,,,,,,,,,,,,,,,,,
234,0.650000,,,,,,,,,,,,,,,-22.099218,6.344662,39.034657,2.911771,0.104724,-2.196470,0.001297
235,0.652778,,,,,,,,,,,,,,,,,,,,,
236,0.655556,,,,,,,,,,,,,,,,,,,,,
237,0.658333,,,,,,,,,,,,,,,,,,,,,
238,0.661111,,,,,,,,,,,,,,,,,,,,,
239,0.663889,,,,,,,,,,,,,,,,,,,,,
240,0.666667,,,,,,,,,,,,,,,,,,,,,
241,0.669444,,,,,,,,,,,,,,,,,,,,,
242,0.672222,,,,,,,,,,,,,,,,,,,,,
243,0.675000,,,,,,,,,,,,,,,,,,,,,
244,0.677778,,,,,,,,,,,,,,,,,,,,,
245,0.680556,,,,,,,,,,,,,,,,,,,,,
246,0.683333,,,,,,,,,,,,,,,,,,,,,
247,0.686111,,,,,,,,,,,,,,,,,,,,,
248,0.688889,,,,,,,,,,,,,,,,,,,,,
249,0.691667,,,,,,,,,,,,,,,,,,,,,
250,0.694444,,,,,,,,,,,,,,,-22.132322,6.404674,39.007236,2.911765,0.104726,-2.196473,0.000964
251,0.697222,,,,,,,,,,,,,,,,,,,,,
252,0.700000,,,,,,,,,,,,,,,,,,,,,
253,0.702778,,,,,,,,,,,,,,,,,,,,,
254,0.705556,,,,,,,,,,,,,,,,,,,,,
255,0.708333,,,,,,,,,,,,,,,,,,,,,
256,0.711111,,,,,,,,,,,,,,,,,,,,,
257,0.713889,,,,,,,,,,,,,,,,,,,,,
258,0.716667,,,,,,,,,,,,,,,,,,,,,
259,0.719444,,,,,,,,,,,,,,,,,,,,,
260,0.722222,,,,,,,,,,,,,,,,,,,,,
261,0.725000,,,,,,,,,,,,,,,,,,,,,
262,0.727778,,,,,,,,,,,,,,,,,,,,,
263,0.730556,,,,,,,,,,,,,,,,,,,,,
264,0.733333,,,,,,,,,,,,,,,,,,,,,
265,0.736111,,,,,,,,,,,,,,,,,,,,,
266,0.738889,-1.616998,4.791904,-2.664236,4.687428,0.783230,3.134257,0.001492,-0.263950,45.951454,-0.935931,5.297662,0.785343,2.706632,0.001032,-22.163071,6.476061,38.964233,2.911749,0.104727,-2.196472,0.000984
267,0.741667,,,,,,,,,,,,,,,,,,,,,
268,0.744444,,,,,,,,,,,,,,,,,,,,,
269,0.747222,-1.598799,4.816456,-2.665996,4.687427,0.783234,3.134270,0.001534,-0.077285,45.864017,-1.595576,5.297655,0.785684,2.706752,0.000722,-22.181534,6.541247,38.946686,2.911765,0.104717,-2.196489,0.000938
270,0.750000,,,,,,,,,,,,,,,,,,,,,
271,0.752778,-1.581020,4.839160,-2.673422,4.687433,0.783234,3.134285,0.001475,0.073916,45.077374,-2.452518,5.297435,0.786168,2.707320,0.001756,-22.199923,6.607352,38.924744,2.911780,0.104704,-2.196505,0.001351
272,0.755556,-1.562426,4.857985,-2.718159,4.687445,0.783254,3.134297,0.001552,-0.206071,45.914158,-1.579705,5.297629,0.785799,2.706686,0.000789,-22.221695,6.670243,38.897781,2.911796,0.104682,-2.196512,0.000960
273,0.758333,,,,,,,,,,,,,,,,,,,,,
274,0.761111,,,,,,,,,,,,,,,,,,,,,
275,0.763889,,,,,,,,,,,,,,,,,,,,,
276,0.766667,,,,,,,,,,,,,,,,,,,,,
277,0.769444,-1.553575,4.870577,-2.721970,4.687434,0.783259,3.134303,0.001491,0.156451,45.082638,-2.420132,5.297411,0.786104,2.707375,0.001703,-22.239376,6.731326,38.884609,2.911789,0.104667,-2.196538,0.001056
278,0.772222,,,,,,,,,,,,,,,,,,,,,
279,0.775000,,,,,,,,,,,,,,,,,,,,,
280,0.777778,,,,,,,,,,,,,,,,,,,,,
281,0.780556,,,,,,,,,,,,,,,,,,,,,
282,0.783333,-1.539594,4.905263,-2.709482,4.687408,0.783260,3.134318,0.001380,-0.324843,45.952400,-1.044452,5.297661,0.785432,2.706657,0.000920,-22.289526,6.774187,38.884758,2.911711,0.104675,-2.196580,0.000983
283,0.786111,,,,,,,,,,,,,,,,,,,,,
284,0.788889,,,,,,,,,,,,,,,,,,,,,
285,0.791667,,,,,,,,,,,,,,,,,,,,,
286,0.794444,-1.540560,4.896532,-2.716099,4.687411,0.783260,3.134311,0.001546,-0.336230,46.002918,-1.061278,5.297614,0.785488,2.706582,0.001072,-22.358519,6.797864,38.916508,2.911592,0.104662,-2.196652,0.001425
287,0.797222,,,,,,,,,,,,,,,,,,,,,
288,0.800000,-1.540441,4.913433,-2.672001,4.687367,0.783256,3.134316,0.001406,-0.057658,45.101078,-2.302755,5.297430,0.786155,2.707309,0.001969,-22.430920,6.812501,38.956123,2.911422,0.104678,-2.196761,0.001040
289,0.802778,,,,,,,,,,,,,,,,,,,,,
290,0.805556,,,,,,,,,,,,,,,,,,,,,
291,0.808333,-2.131117,4.345217,-1.844689,4.686602,0.782981,3.133753,0.002130,-0.421329,46.021763,-1.119748,5.297656,0.785582,2.706563,0.000973,-22.509399,6.804204,39.024673,2.911210,0.104719,-2.196918,0.001241
292,0.811111,,,,,,,,,,,,,,,,,,,,,
293,0.813889,,,,,,,,,,,,,,,,,,,,,
294,0.816667,-2.053906,4.429806,-1.970383,4.686673,0.783038,3.133831,0.001463,-0.286019,45.920952,-1.467267,5.297637,0.785767,2.706636,0.000794,-22.614773,6.781470,39.123234,2.910935,0.104764,-2.197119,0.001113
295,0.819444,-1.996374,4.486041,-2.036787,4.686759,0.783047,3.133877,0.001482,0.029094,45.071625,-2.519178,5.297450,0.786257,2.707288,0.001847,-22.741013,6.777356,39.223091,2.910606,0.104807,-2.197298,0.000964
