Format Version,1.23,Take Name,MSD_Ballie_Trial,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2024-03-05 02.10.02.065 PM,Capture Start Frame,694055,Total Frames in Take,13342,Total Exported Frames,12501,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
27,0.075000,-87.054985,-8.561889,-85.410057,0.147776,0.102777,2.213009,0.001010,,,,,,,,,,,,,,,,,,,,,,,,,,0.138534,0.123133,2.320541,0.195867,0.150038,2.126675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171795,0.189327,2.283658,0.118675,0.204564,2.240254,0.189064,0.206592,2.199604,0.249097,0.154625,2.207361,,,,,,
28,0.077778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.080556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.083333,-86.774590,-8.552505,-85.384247,0.147759,0.102911,2.213393,0.000803,,,,,,,,,,,,,,,,,,,,,,,,,,0.138482,0.122450,2.320982,0.196033,0.150597,2.127187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172213,0.189220,2.283601,0.118714,0.204655,2.241364,0.188864,0.206707,2.200463,0.248890,0.154682,2.207930,,,,,,
31,0.086111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.088889,-86.312988,-9.485122,-86.085251,0.149845,0.103641,2.213197,0.001014,,,,,,,,,,,,,,,,,,,,,,,,,,0.138491,0.122196,2.321259,0.196047,0.150848,2.127520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172239,0.188995,2.284177,0.118781,0.204744,2.242017,0.188706,0.207880,2.202000,0.248916,0.154760,2.208309,,,,,,
33,0.091667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.094444,-86.608948,-8.796405,-85.330498,0.147826,0.102906,2.214074,0.000855,,,,,,,,,,,,,,,,,,,,,,,,,,0.138574,0.121985,2.321537,0.196182,0.151208,2.127842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172341,0.188822,2.284613,0.118767,0.204560,2.242379,0.186495,0.206936,2.201959,0.248855,0.154710,2.208585,,,,,,
35,0.097222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.100000,-86.618408,-8.871350,-85.223854,0.147920,0.102936,2.214569,0.001225,,,,,,,,,,,,,,,,,,,,,,,,,,0.138754,0.121994,2.321801,0.196043,0.151232,2.128191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172453,0.188676,2.284990,0.118898,0.204559,2.242850,0.186487,0.206899,2.202418,0.248871,0.154637,2.208832,,,,,,
37,0.102778,-85.995682,-9.212698,-85.568535,0.148831,0.103415,2.213794,0.001024,,,,,,,,,,,,,,,,,,,,,,,,,,0.138791,0.121664,2.321795,0.195962,0.151297,2.128355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172535,0.188601,2.285154,0.118911,0.204534,2.243009,0.188231,0.207720,2.202648,0.248926,0.154667,2.208949,,,,,,
38,0.105556,-86.038208,-9.429849,-85.960388,0.149955,0.103606,2.213928,0.001014,,,,,,,,,,,,,,,,,,,,,,,,,,0.138916,0.121850,2.322005,0.195911,0.151249,2.128493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172591,0.188425,2.285272,0.118985,0.204537,2.243222,0.188887,0.207948,2.203223,0.248949,0.154584,2.209024,,,,,,
39,0.108333,-86.273865,-8.561812,-85.250549,0.148035,0.103046,2.214477,0.000812,,,,,,,,,,,,,,,,,,,,,,,,,,0.139004,0.121764,2.322095,0.195953,0.151388,2.128607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172664,0.188379,2.285410,0.119030,0.204488,2.243394,0.189136,0.206998,2.202305,0.248992,0.154604,2.209115,,,,,,
40,0.111111,-86.261871,-8.592618,-85.231590,0.148137,0.103037,2.214602,0.000834,,,,,,,,,,,,,,,,,,,,,,,,,,0.139113,0.121867,2.322288,0.195799,0.151322,2.128818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172874,0.188468,2.285573,0.119095,0.204412,2.243508,0.189171,0.206978,2.202442,0.249003,0.154527,2.209150,,,,,,
41,0.113889,-86.126274,-8.564833,-85.237617,0.148182,0.103006,2.214523,0.000846,,,,,,,,,,,,,,,,,,,,,,,,,,0.139184,0.121605,2.322277,0.195848,0.151366,2.128908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173050,0.188427,2.285747,0.119144,0.204384,2.243676,0.189239,0.206959,2.202605,0.249044,0.154510,2.209247,,,,,,
42,0.116667,-86.054077,-8.451138,-85.188560,0.148060,0.103040,2.214558,0.000834,,,,,,,,,,,,,,,,,,,,,,,,,,0.139226,0.121402,2.322272,0.195755,0.151405,2.128976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173032,0.188340,2.285748,0.119261,0.204455,2.243862,0.189337,0.206940,2.202718,0.249110,0.154482,2.209265,,,,,,
43,0.119444,-86.547485,-8.875136,-84.912903,0.148142,0.102845,2.215652,0.001260,,,,,,,,,,,,,,,,,,,,,,,,,,0.139320,0.121428,2.322363,0.195697,0.151368,2.129111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173116,0.188259,2.285842,0.119323,0.204384,2.243951,0.186947,0.206910,2.203460,0.249116,0.154413,2.209295,,,,,,
44,0.122222,-86.018692,-9.111000,-85.623146,0.149608,0.103110,2.214491,0.000837,,,,,,,,,,,,,,,,,,,,,,,,,,0.139462,0.121408,2.322497,0.195678,0.151340,2.129208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173188,0.188069,2.285911,0.119377,0.204302,2.244040,0.189495,0.206980,2.202979,0.249194,0.154352,2.209308,,,,,,
45,0.125000,-85.985947,-8.837739,-85.406258,0.149133,0.103117,2.214673,0.000833,,,,,,,,,,,,,,,,,,,,,,,,,,0.139574,0.121432,2.322622,0.195751,0.151406,2.129274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173423,0.188135,2.286076,0.119498,0.204375,2.244205,0.189606,0.206963,2.203061,0.249226,0.154376,2.209337,,,,,,
46,0.127778,-85.948593,-9.145973,-85.650253,0.150045,0.103147,2.214516,0.000862,,,,,,,,,,,,,,,,,,,,,,,,,,0.139678,0.121308,2.322653,0.195660,0.151350,2.129329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173612,0.188260,2.286195,0.119568,0.204297,2.244282,0.189698,0.206975,2.203142,0.249234,0.154309,2.209334,,,,,,
47,0.130556,-85.775345,-9.299617,-85.725410,0.150386,0.103500,2.214554,0.001034,,,,,,,,,,,,,,,,,,,,,,,,,,0.139820,0.121370,2.322766,0.195801,0.151421,2.129327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173575,0.188173,2.286159,0.119637,0.204235,2.244347,0.189583,0.207894,2.204219,0.249311,0.154253,2.209312,,,,,,
48,0.133333,-86.046478,-9.103640,-85.587486,0.150065,0.103106,2.214844,0.000851,,,,,,,,,,,,,,,,,,,,,,,,,,0.139917,0.121560,2.322886,0.195752,0.151407,2.129354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173783,0.188147,2.286278,0.119748,0.204279,2.244433,0.189897,0.206918,2.203280,0.249380,0.154249,2.209357,,,,,,
